X,V,A,dA,thrust1,thrust2,tank2,gravity,air_drag,
12620.387905,85.196690,0.148875,0.000751,20.000000,0.000000,100.000000,-9.759180,-10.091946,
12705.734226,85.346321,0.149632,0.000757,20.000000,0.000000,100.000000,-9.758903,-10.091465,
12791.230942,85.496716,0.150395,0.000763,20.000000,0.000000,100.000000,-9.758626,-10.090979,
12876.878823,85.647881,0.151165,0.000770,20.000000,0.000000,100.000000,-9.758349,-10.090487,
12961.878645,84.999822,-0.648059,-0.799224,19.200000,0.000000,100.000000,-9.758071,-10.089989,
13045.525092,83.646447,-1.353375,-0.705315,18.400000,0.000000,100.000000,-9.757795,-9.995580,
13127.195079,81.669987,-1.976461,-0.623086,17.600000,0.000000,100.000000,-9.757523,-9.818938,
13206.337554,79.142475,-2.527512,-0.551051,16.800000,0.000000,100.000000,-9.757258,-9.570253,
13282.464612,76.127058,-3.015417,-0.487905,16.000000,0.000000,100.000000,-9.757001,-9.258416,
13355.143744,72.679132,-3.447926,-0.432509,15.200000,0.000000,100.000000,-9.756754,-8.891171,
13423.991089,68.847345,-3.831788,-0.383862,14.400000,0.000000,100.000000,-9.756518,-8.475269,
13488.665553,64.674463,-4.172881,-0.341094,13.600000,0.000000,100.000000,-9.756295,-8.016586,
13548.863692,60.198139,-4.476324,-0.303443,12.800000,0.000000,100.000000,-9.756085,-7.520239,
13604.315261,55.451569,-4.746570,-0.270246,12.000000,0.000000,100.000000,-9.755890,-6.990680,
13654.779337,50.464076,-4.987494,-0.240924,11.200000,0.000000,100.000000,-9.755710,-6.431784,
13700.040945,45.261608,-5.202468,-0.214974,10.400000,0.000000,100.000000,-9.755546,-5.846922,
13739.908127,39.867182,-5.394426,-0.191958,9.600000,0.000000,100.000000,-9.755399,-5.239026,
13774.209390,34.301263,-5.565919,-0.171493,8.800000,0.000000,100.000000,-9.755270,-4.610649,
13802.791487,28.582097,-5.719166,-0.153247,8.000000,0.000000,100.000000,-9.755159,-3.964008,
13825.517485,22.725998,-5.856099,-0.136932,7.200000,0.000000,100.000000,-9.755066,-3.301033,
13842.265088,16.747603,-5.978395,-0.122297,6.400000,0.000000,100.000000,-9.754992,-2.623403,
13852.925174,10.660086,-6.087516,-0.109121,5.600000,0.000000,100.000000,-9.754938,-1.932579,
13857.400528,4.475354,-6.184733,-0.097216,4.800000,0.000000,100.000000,-9.754903,-1.229830,
13855.604731,-1.795796,-6.271150,-0.086417,4.000000,0.000000,100.000000,-9.754889,-0.516261,
13847.461205,-8.143526,-6.347730,-0.076580,3.200000,0.000000,100.000000,-9.754895,0.207165,
13832.902369,-14.558836,-6.415310,-0.067580,2.400000,0.000000,100.000000,-9.754921,0.939611,
13811.868912,-21.033457,-6.474620,-0.059310,1.600000,0.000000,100.000000,-9.754968,1.680348,
13784.309160,-27.559753,-6.526296,-0.051676,0.800000,0.000000,100.000000,-9.755037,2.428740,
13750.178513,-34.130646,-6.570893,-0.044597,0.000000,0.000000,100.000000,-9.755126,3.184233,
13710.238971,-39.939542,-5.808896,0.761997,0.000000,0.000000,100.000000,-9.755237,3.946341,
13665.166042,-45.072929,-5.133387,0.675509,0.000000,0.000000,100.000000,-9.755366,4.621980,
13615.558717,-49.607325,-4.534396,0.598991,0.000000,0.000000,100.000000,-9.755512,5.221117,
13561.948239,-53.610478,-4.003153,0.531242,0.000000,0.000000,100.000000,-9.755673,5.752520,
13504.805829,-57.142410,-3.531932,0.471221,0.000000,0.000000,100.000000,-9.755847,6.223915,
13444.549505,-60.256324,-3.113914,0.418018,0.000000,0.000000,100.000000,-9.756033,6.642119,
13381.550103,-62.999402,-2.743078,0.370837,0.000000,0.000000,100.000000,-9.756228,7.013151,
13316.136605,-65.413498,-2.414097,0.328981,0.000000,0.000000,100.000000,-9.756433,7.342336,
13248.600849,-67.535756,-2.122258,0.291839,0.000000,0.000000,100.000000,-9.756645,7.634387,
13179.201706,-69.399143,-1.863386,0.258872,0.000000,0.000000,100.000000,-9.756864,7.893478,
13108.168782,-71.032924,-1.633781,0.229605,0.000000,0.000000,100.000000,-9.757089,8.123308,
13035.705698,-72.463084,-1.430160,0.203621,0.000000,0.000000,100.000000,-9.757320,8.327160,
12961.993003,-73.712695,-1.249611,0.180549,0.000000,0.000000,100.000000,-9.757555,8.507944,
12887.190759,-74.802244,-1.089549,0.160062,0.000000,0.000000,100.000000,-9.757794,8.668246,
12811.440838,-75.749921,-0.947677,0.141871,0.000000,0.000000,100.000000,-9.758037,8.810360,
12734.868958,-76.571880,-0.821959,0.125719,0.000000,0.000000,100.000000,-9.758283,8.936324,
12657.586496,-77.282462,-0.710582,0.111377,0.000000,0.000000,100.000000,-9.758531,9.047950,
12579.692097,-77.894398,-0.611937,0.098645,0.000000,0.000000,100.000000,-9.758782,9.146846,
12501.273105,-78.418993,-0.524594,0.087342,0.000000,0.000000,100.000000,-9.759035,9.234441,
12422.406828,-78.866277,-0.447284,0.077310,0.000000,0.000000,100.000000,-9.759290,9.312006,
12343.161674,-79.245154,-0.378877,0.068407,0.000000,0.000000,100.000000,-9.759546,9.380669,
12263.598151,-79.563523,-0.318369,0.060507,0.000000,0.000000,100.000000,-9.759803,9.441434,
